Date,Time,AUDJPY,AUDUSD,EURCHF,EURGBP,EURJPY,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY,SILVER,GOLD,NAS,DAX,CAC,FTSE,DOW
03/01/2010,17:00:00,80.344,0.89981,1.46319,0.90176,120.735,1.3522,1.49923,0.69922,1.0419,1.08209,89.287,16.56,1096.89001,1844,5711,3765,5402,10405
03/01/2010,17:15:00,80.342,0.90002,1.46324,0.90188,120.703,1.35216,1.49893,0.69918,1.0424,1.08211,89.267,16.53,1099.34998,1844,5710,3762,5399,10399
03/01/2010,17:30:00,80.39,0.90067,1.4633,0.90179,120.72,1.35266,1.49971,0.69969,1.04209,1.08184,89.247,16.55,1098.80005,1844,5711,3763,5400,10399
03/01/2010,17:45:00,80.309,0.90051,1.4633,0.90179,120.715,1.35365,1.50084,0.69957,1.0421,1.08099,89.177,16.52,1097.55005,1843,5708,3760,5400,10389
03/01/2010,18:00:00,80.273,0.90025,1.46343,0.90245,120.755,1.35426,1.50038,0.69954,1.04195,1.08059,89.165,16.5,1095.55005,1843,5711,3762,5402,10393
03/01/2010,18:15:00,80.202,0.89962,1.46341,0.90334,120.725,1.3542,1.49884,0.69909,1.04248,1.08067,89.15,16.43,1093.25,1843,5709,3761,5401,10390
03/01/2010,18:30:00,80.174,0.89927,1.46346,0.90365,120.75,1.35441,1.49855,0.69894,1.04231,1.08054,89.15,16.44,1095.5,1844,5711,3762,5405,10399
03/01/2010,18:45:00,80.209,0.89959,1.4634,0.90455,120.87,1.35571,1.49854,0.69928,1.04195,1.07936,89.16,16.49,1095.80005,1845,5708,3762,5405,10401
03/01/2010,19:00:00,80.232,0.89986,1.46323,0.90408,120.844,1.35545,1.49899,0.69932,1.0413,1.07944,89.16,16.48,1094.65002,1845,5711,3763,5405,10401
03/01/2010,19:15:00,80.21,0.89971,1.46335,0.90426,120.905,1.35619,1.49949,0.69931,1.04163,1.079,89.15,16.5,1095.40002,1846,5711,3763,5408,10398
03/01/2010,19:30:00,80.223,0.89951,1.46342,0.90465,120.926,1.35593,1.49849,0.69922,1.04215,1.0793,89.186,16.47,1095.25,1845,5712,3763,5408,10396
03/01/2010,19:45:00,80.188,0.9006,1.46333,0.90448,120.86,1.35739,1.50049,0.69954,1.04126,1.07804,89.037,16.48,1095.09998,1844,5711,3764,5407,10394
03/01/2010,20:00:00,80.23,0.90097,1.46331,0.90443,120.73,1.35581,1.49869,0.69965,1.042,1.07929,89.047,16.45,1095.59998,1843,5705,3763,5404,10387
03/01/2010,20:15:00,80.24,0.90109,1.46345,0.90467,120.733,1.35591,1.49859,0.6997,1.04215,1.07929,89.046,16.45,1098.19995,1845,5707,3763,5405,10395
03/01/2010,20:30:00,80.164,0.90026,1.46345,0.9047,120.715,1.35558,1.49807,0.69915,1.04223,1.07959,89.047,16.42,1097.80005,1844,5707,3762,5403,10396
03/01/2010,20:45:00,80.214,0.90044,1.46336,0.90448,120.78,1.35578,1.49874,0.69916,1.04154,1.07939,89.084,16.42,1098.44995,1844,5712,3763,5407,10395
03/01/2010,21:00:00,80.271,0.90106,1.46325,0.90435,120.805,1.35601,1.49923,0.69942,1.04217,1.07904,89.09,16.43,1098.09998,1842,5722,3768,5425,10394
03/01/2010,21:15:00,80.251,0.90066,1.46327,0.90431,120.8,1.3557,1.49877,0.69842,1.0419,1.07929,89.102,16.44,1098.40002,1844,5717,3769,5427,10393
03/01/2010,21:30:00,80.27,0.90091,1.46331,0.90435,120.801,1.35572,1.49885,0.69942,1.04155,1.07929,89.096,16.45,1097.69995,1844,5722,3773,5423,10396
03/01/2010,21:45:00,80.273,0.90079,1.46317,0.9043,120.822,1.35584,1.49876,0.69941,1.04109,1.07898,89.109,16.45,1098,1844,5717,3769,5409,10395
03/01/2010,22:00:00,80.269,0.90066,1.4633,0.90465,120.873,1.3562,1.49874,0.69948,1.04169,1.07899,89.123,16.44,1098.94995,1844,5727,3775,5413,10394
03/01/2010,22:15:00,80.267,0.90077,1.46334,0.90426,120.857,1.35627,1.49969,0.69957,1.04106,1.0789,89.102,16.48,1100.25,1844,5726,3776,5409,10393
03/01/2010,22:30:00,80.294,0.90076,1.46338,0.9045,120.902,1.3563,1.49912,0.69966,1.04088,1.07887,89.135,16.47,1100.44995,1844,5721,3774,5421,10393
03/01/2010,22:45:00,80.37,0.90136,1.46338,0.90475,120.987,1.35679,1.49944,0.70017,1.04103,1.07851,89.165,16.48,1101.84998,1844,5710,3764,5423,10394
03/01/2010,23:00:00,80.326,0.90099,1.46337,0.90475,120.955,1.35665,1.49919,0.69975,1.04096,1.07867,89.152,16.47,1101.75,1844,5718,3767,5420,10395
03/01/2010,23:15:00,80.242,0.90039,1.46332,0.90497,120.875,1.3563,1.4984,0.69952,1.04108,1.07883,89.114,16.47,1102,1844,5714,3770,5416,10394
03/01/2010,23:30:00,80.297,0.90089,1.46337,0.90548,120.97,1.3573,1.49869,0.69962,1.04103,1.07806,89.126,16.46,1102.84998,1844,5725,3778,5420,10393
03/01/2010,23:45:00,80.24,0.89979,1.46358,0.9056,120.926,1.35605,1.49711,0.69942,1.0417,1.07929,89.173,16.47,1102.65002,1843,5721,3776,5429,10394
03/02/2010,00:00:00,80.156,0.89846,1.46366,0.90546,120.955,1.35577,1.497,0.69797,1.04084,1.07954,89.213,16.45,1102.75,1844,5723,3776,5431,10394
03/02/2010,00:15:00,80.126,0.89781,1.46349,0.90519,120.892,1.35529,1.49691,0.69757,1.04328,1.07979,89.201,16.45,1103.75,1844,5722,3773,5431,10397
03/02/2010,00:30:00,80.217,0.89903,1.46349,0.90533,120.911,1.35512,1.49659,0.69797,1.04293,1.07994,89.216,16.45,1101.90002,1844,5724,3776,5445,10396
03/02/2010,00:45:00,80.261,0.89889,1.46343,0.90534,120.835,1.35335,1.49459,0.69801,1.04293,1.08129,89.282,16.46,1103.09998,1844,5730,3782,5450,10390
03/02/2010,01:00:00,80.186,0.89812,1.46337,0.90578,120.762,1.35259,1.49299,0.69745,1.04343,1.08179,89.278,16.46,1102.69995,1844,5730,3782,5446,10392
03/02/2010,01:15:00,80.189,0.89856,1.46338,0.9057,120.71,1.35263,1.49321,0.69741,1.04339,1.08179,89.237,16.45,1101.69995,1844,5734,3785,5447,10389
03/02/2010,01:30:00,80.19,0.89861,1.46329,0.90568,120.749,1.35308,1.49374,0.69767,1.04339,1.08139,89.237,16.44,1102,1844,5747,3793,5451,10388
03/02/2010,01:45:00,80.195,0.89861,1.46333,0.90573,120.73,1.35279,1.49334,0.69742,1.04324,1.08173,89.244,16.44,1101.25,1844,5753,3795,5456,10390
03/02/2010,02:00:00,80.254,0.89911,1.46339,0.90589,120.845,1.35382,1.49429,0.69777,1.04313,1.08098,89.26,16.44,1103.75,1844,5748,3792,5453,10388
